"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Fitness Test: Threshold Pace and HR2","Run","This fitness test helps you to set your pace and heart rate thresholds and training zones for TrainingPeaks. Warm Up: 5 mins in Z2 (easy/steady), 4 x (30 secs accelerating from Z2 to Z4 + 30 secs recoveries in Z1). Main Set: Run for 30 mins at the fastest pace you can maintain for the duration. Record your average pace and ideally average heart rate too. Warm Down: 5 mins in Z1 to Z2 (easy).","0.727777777777778","","2020-09-22","THRESHOLD RUN PACE Complete the test and note your threshold pace (average pace for the 30-minute interval) THRESHOLD HEART RATE (THR) Take your average HR for the 30-minute test, this is your Run THR. ENTER THRESHOLDS AND ZONES Check this article and short video to enter your thresholds and training zones into your TrainingPeaks settings: https://bit.ly/EnterRunZones RATE OF PERCEIVED EXERTION (RPE) To run to feel (RPE), complete the test and note the distance. Use this to track progress in future tests. Click this link for more details of the 30 minute fitness test: https://myprocoach-help.zendesk.com/hc/en-us/articles/360001021432-Run-Field-Test-Threshold-Running-Pace-and-HR Il test prevede di correre su percorso piano e misurato 5k al meglio delle proprie possibilità. Occorre rilevare FCMAX, FCMEDIA E TEMPO IMPIEGATO. Il consiglio è di ""gestire"" i primi 500m in modo da non trovarsi nell'impossibilità di terminare il test a causa di un ritmo troppo intenso impostato all'inizio. L'alimentazione prima del test deve essere a base di carboidrati (circa 60-80g) da consumarsi approssimativamente 3h prima della prova (60grammi) e un'ora prima della prova (20grammi). Nelle tre ore precedenti la prova si possono utilizzare carboidrati complessi (pasta, pane, patate) e semplici (marmellata, succhi di frutta, integratori a base di malto destrine, miele...). Nell'ora prima della prova esclusivamente carboidrati semplici.","3973.14990234375","283","375","337.984","","0.33098641037941","3.33400011062622","","83","","149","164","","","0.861042213994529","24.15","2","2","13","3","0","","","","","","1","12","5","0","0","","","","","","",""
"Running","Run","","","","2020-09-22","","7218.7099609375","306","353","597.211","","0.541132211685181","3.70600008964539","","88","","150","164","","","0.882266557649916","41.5","2","7","14","10","0","","","","","","1","19","13","0","0","","","","","","",""
"Prep Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Alternate Lunge: 2 x 8 (Exercise 5) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Reverse Lunge: 2 x 6 (Exercise 6) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Push Up: 2 x 12 (Exercise 13) 7. Glute Bridge: 2 x 12 (Exercise 18) 8. Bird Dog: 2 x 7 (Exercise 19) 9. Plank: 2 reps (Exercise 21) 10. Reverse Crunch: 2 x 12 (Exercise 28) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-09-23","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.63775497674942","0","","","","83","127","","","0.546564317258774","20.87","5","0","0","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2020-09-23","","0","","","","","0.0961886122822762","0","","","","93","108","","","0.597511434013406","3.59","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Speed Workout Bike - 20x(30” Z5 / 30”” rec)","Bike","Warm Up: 10 mins easy Z2, 5 x (10 secs in Z4-5 + 50 secs in Z2). Main Set: 20 x (30 secs in upper Z4 + 30 secs in Z2) Warm Down: 5 mins in Z2.","0.666666666666667","","2020-09-24","","23667.779296875","214","460","580.352","","0.753078877925873","8.72999954223633","","75","","146","174","","","0.828946196797435","51.17","19","1","6","9","10","","","","","","3","28","1","1","6","4","0","","","","",""
"Strength / upper body","Strength","panca deltoidi chin ups","","","2020-09-24","","0","","","","","0.405825555324554","0","","","","80","113","","","0.541718617067191","12.89","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Speed Workout Run - 3x3min prog 1/3","Run","Warm Up: 15 mins easy in Z2. Main Set: 3 x (3 mins + 2 min recoveries in Z1-2) REP 1: In Z3 REP 2: In Z4 REP 3: In Z5 Warm Down: 5 mins easy, slow jog in Z2.","0.583333333333333","","2020-09-25","","8570.349609375","309","",""," *25/09/2020 bruvio . : stryd non connesso al garmin lap1 347 W lap2 363 W lap3 361 W*","0.625080287456512","3.80900001525879","","88","","156","189","","","0.900584926357377","55.5","2","1","11","16","6","","","","","","","","","","","","","","","","",""
"Prep Phase 1: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Step Up: 2 x 7 (Exercise 7) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Lat & Front Raise Combo: 2 x 8 (Exercise 11) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Dumbbell Pullover: 2 x 12 (Exercise 15) 7. Tricep Dip: 2 x 10 (Exercise 17) 8. Lying Hip Abduction: 2 x 10 (Exercise 20) 9. Plank: 2 reps (Exercise 21) 10. Spider Climber: 2 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.833333333333333","","2020-09-25","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.866510808467865","0","","","","80","130","","","0.540789402174736","27.99","5","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: What Cadence?","Custom","What Cadence Should You Ride At? https://bit.ly/RideCadence","","","2020-09-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Ride mainly in Z2.","1.5","","2020-09-26","Phil’s Training Tip: Riding indoors is a little harder than riding outside, because there is no momentum, freewheeling or stops. For this reason, when you are on the trainer you can reduce the long weekend sessions by 10-15% and you'll get close to the same benefit as riding the full duration outside.","46307.578125","208","320","1121.671","","1.50117361545563","8.56900024414063","","75","","139","152","","","0.742060401653049","82.32","33","55","2","0","0","","","","","","0","60","29","0","0","0","0","","","","",""
"VIDEO: Why You Need To Stick to Zone 2","Custom","Why You Need To Stick to Zone 2: https://bit.ly/WhyZone2","","","2020-09-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Run","Run","A nice steady run, mainly in Z1-Z2.","1","","2020-09-27","","13058.0498046875","309","378","1101.871","","0.991349697113037","3.65899991989136","","89","","152","165","","","0.884013446623951","76.72","1","7","35","15","1","","","","","","0","43","17","1","0","","","","","","",""
"Prep Phase 2 Week 1","Other","","","","2020-09-28","If you haven’t already, read our ""Getting Started Guide"" below. https://support.myprocoach.net/hc/en-us/articles/360004621731 Included with your training plan you have access to our Support Centre below. https://myprocoach-help.zendesk.com/hc/en-us We use a system of 5 Training Zones, which you can learn about here: http://www.myprocoach.net/uploads/1/3/3/8/13384839/training_intensity_zones.pdf For the duration of your plan, you can email our coaching team, click below to find out more: https://support.myprocoach.net/hc/en-us/articles/360000529751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Speed Workout Run","Run","Warm Up: 15 mins easy in Z2. Main Set: 2 min in Z3 + 1 min in Z1, 2 x (1 min in Z4 + 1 min in Z1), 2 x (1 min in Z5 + 1 min in Z1). Warm Down: 10 mins easy, slow jog in Z2.","0.6","","2020-09-28","","8627.2900390625","304","420","731.713","","0.666962504386902","3.59299993515015","","89","","151","175","","","0.886370501039004","51.73","1","11","18","7","4","","","","","","6","23","6","4","1","","","","","","",""
"Pool Swim: Aerobic Endurance","Swim","These sessions will be done at lower intensities, and will progress in duration. The goal is to build your endurance ensuring you can easily swim the distance on race day and still have lots of energy left for the ride and run. Warm Up: 1 x (100 FS in Z2 + 100 Drill in Z2 + 5 secs rest), 1 x (200 Pull in Z2 + 5 secs rest). Main Set: 1 x (300 Pull in Z2 + 10 secs rest), 4 x (100 FS in Z3 + 10 sec rests), 3 x (100 Pull in Z2 + 15 sec rests), 2 x (100 FS in Z3 + 15 sec rests). Warm Down: 1 x (50 Back in Z2 + 50 Breast in Z2) + 5 secs rest, 1 x (50 Choice in Z2 + 50 FS in Z2).","0.520277777777778","1800","2020-09-28","Phil’s Training Tip: There's a saying in swimming: ""Perfect practice makes perfect"". Meaning that swimming with bad habits may actually reinforce those bad habits. So if you want to improve your swim speed in less time, prioritise high quality swims. Think about your technique whenever you swim. Watch swim videos, read swim books and become a student of swimming. Get poolside technique coaching if you can. And always follow planned, structured swim workouts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2020-09-28","","0","","","","","0.42936971783638","0","","","","84","113","","","0.557914074931271","14.5","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"Prep Phase 2: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Reverse Lunge: 3 x 6 (Exercise 6) 3. Single Leg Squat: 3 x 6 (Exercise 3) 4. Bent Over Row: 3 x 12 (Exercise 12) 5. Bench Press: 3 x 12 (Exercise 14) 6. Tricep Kickback: 3 x 10 (Exercise 16) 7. Bird Dog: 3 x 7 (Exercise 19) 8. Side Plank: 2 reps (Exercise 23) 9. Bicycle Crunch: 3 x 8 (Exercise 26) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-09-29","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.688996136188507","0","","","","87","129","","","0.559152255187339","23.64","6","0","0","0","0","","","","","","","","","","","","","","","","",""
